# FFXIV 1.23b (2012.09.19.0001) -- USER_DEFINED symbols exported from Ghidra
# 993 symbols we authored (renames), extracted from the Ghidra XML export.
# Format: <address>	<name>. Re-import via the script in ghidra_symbol_map.md.
# This is OUR annotation work only -- no proprietary bytes/disassembly.
004b3c50	NetworkModule_topLevelTick
005738f0	Player_getVariableCommandContent
00573910	Player_getVariableCommandPlaceDriven_at_idx
00573940	Player_getVariableCommandEmoteSit_default10001
00575550	ZoneIn_opcode_0x18d_sessionGated_bufferOrDirect_dispatch
00576050	ZoneIn_opcode_0x196_MULTI_FIELD_BIT_PACKED_8flags_8ushorts
00576140	ZoneIn_opcode_0x1a3_UI_MSGPOOL_push_uint
00576150	ZoneIn_opcode_0x198_STRING_UPDATE_pushToSubsystem_0xc
00576240	ZoneIn_opcode_0x143_DESPAWN_extractAndForwardToDespawnHandler
00576250	ZoneIn_opcode_0x17c_SPAWN_extractAndForwardToFactory
005762c0	ZoneIn_opcode_0x17d_thinBridge_with8B_to_subsystem_0x18
005762d0	ZoneIn_opcode_0x17e_STATE_EVENT_uint32_session_gated
005762e0	ZoneIn_opcode_0x17f_STATE_EVENT_uint64_session_gated_typeA
005762f0	ZoneIn_opcode_0x180_STATE_EVENT_uint64_session_gated_typeB
00576300	ZoneIn_opcode_0x181_STATE_EVENT_uint64_session_gated_typeC
00576310	ZoneIn_opcode_0x182_STATE_EVENT_uint64_session_gated_typeD
00576320	ZoneIn_opcode_0x183_STATE_EVENT_uint_to_subsystem_0x18_variantA
00576330	ZoneIn_opcode_0x184_STATE_EVENT_uint_to_subsystem_0x18_variantB
00576340	ZoneIn_opcode_0x185_STATE_EVENT_uint_to_subsystem_0x18_variantC
00576350	ZoneIn_opcode_0x186_MULTI_ACTOR_STATE_SET_12Bperrecord
00576360	ZoneIn_opcode_0x188_LINKSHELL_ENTRY_single_to_factory
00576370	ZoneIn_opcode_0x189_LINKSHELL_ENTRY_BATCH_to_factory
00576380	ZoneIn_opcode_0x18a_BULK_PAIR_SET_8Bperentry_countAt_0x60
00576390	ZoneIn_opcode_0x187_WORKSYNC_typedPacket_extractForwarder
005763a0	ZoneIn_opcode_0x18b_MEMBERINFO_typedPacket_extractForwarder
005763b0	ZoneIn_opcode_0x17a_STATE_EVENT_uint_to_subsystem_0x18
005763c0	ZoneIn_opcode_0x16d_ACTOR_EVENT_byte_payload
00576430	ZoneIn_opcode_0x16e_ACTOR_EVENT_with_context_lookup
005764c0	ZoneIn_opcode_0x146_ACTOR_EVENT_with_context_lookup
00576560	ZoneIn_opcode_0x148_actorLookup_thenDispatch_subsystem_0x24
00576bf0	ZoneIn_opcode_0x176_ACTOR_EVENT_simple_payload
00576c60	ZoneIn_opcode_0x18f_ACTOR_TRIGGER_no_payload
00576cd0	ZoneIn_opcode_0x190_ACTOR_EVENT_with_payload
00576d40	ZoneIn_opcode_0x191_ACTOR_PING_lookupDispatchNoPayload
00578970	PerFrameTick_Subsystems_widgets_zone_spawn_etc
00578c90	ZoneIn_opcode_0x193_SYSTEM_ERROR_dispatcher_22codes_with_localized_strings
005794c0	DebugConsole_achievementListCommand
0057ab60	GetMemberAt_0x10
00580e70	ZoneIn_0x148_SINGLE_ACTION_RESULT_to_actor_queue
00580ef0	ZoneIn_0x149_BATCH_ACTION_RESULT_multiRecord_to_actor_queue
00580f70	ZoneIn_0x14a_ACTION_BATCH_16fixed_to_actor_queue
00580ff0	ZoneIn_0x14b_ACTION_BATCH_32fixed_to_actor_queue
00581070	ZoneIn_0x14c_LARGE_ACTION_BATCH_64records_to_actor_queue
005810f0	ZoneIn_0x14d_STATUS_SINGLE_to_actor_queue
00581170	ZoneIn_0x14e_STATUS_VARIABLE_countByte_to_actor_queue
005811f0	ZoneIn_0x14f_STATUS_EFFECT_LIST_16slots_to_actor_queue
00581270	ZoneIn_0x150_EXTENDED_STATUS_LIST_32slots_to_actor_queue
005812f0	ZoneIn_0x151_STATUS_LIST_64fixed_to_actor_queue
00581370	ZoneIn_0x152_IDS_SINGLE_ushort_to_actor_queue
005813f0	ZoneIn_0x153_IDS_VARIABLE_countByte_to_actor_queue
00581470	ZoneIn_0x154_IDS_LIST_16fixed_to_actor_queue
005814f0	ZoneIn_0x155_IDS_LIST_32fixed_to_actor_queue
00581570	ZoneIn_0x156_IDS_LIST_64fixed_to_actor_queue
00583440	PerFrameSubsystem_slot7_INBOUND_WORKSYNC_PUMP_complex_32pertick
005836d0	PerFrameSubsystem_slot8_INBOUND_WORKSYNC_PUMP_simple_32pertick
00585f60	MsgQueue_WriteSlot
00587f80	MsgQueue_FillTwoSlots
00589260	MsgQueue_EnqueueWithPriority200
005c5c80	ZoneIn_handler_default_noop
006b0220	Bootup_stateMachineTick
006c1c00	MultiActorStateSet_loopRecords_lookupAndApply_12Bstride
006c31f0	MultiActorStateSet_processPayload_vtableDispatch
006c5020	DespawnPipeline_scanPendingList_conditionalBreakup
006c5150	DespawnPipeline_constructBreakupBuilder_enqueueToRingBuffer
006c5240	MemberInfoUpdater_FACTORY_constructAndEnqueue
006c5750	PropertyUpdater_FACTORY_constructAndEnqueue_vtableCallback
006c5de0	DespawnPipeline_forwarder_toBreakupConstructor
006c5df0	MemberInfoUpdater_forwarder_toFactory
006c5f40	SpawnPipeline_outerRing_packetTypeDispatcher_with2711tag
006c6a70	BulkPairSet_loopEntries_insertToMap_8Bstride
006c6b20	WorkSyncUpdater_FACTORY_constructAndEnqueue
006c72e0	WorkSyncAlt_serializePayloadAndSend_opcode_0x133
006c82a0	BulkPairSet_initOnceAndForward
006c8340	WorkSyncUpdater_forwarder_toFactory
006c8cf0	SpawnPipeline_T5_allocateActor_84B_invokeOnInit_ackVia_0x133
006cb860	EntryLinkShellBuilder_dtor_revertsToParentVftable
006cbc90	SpawnPipeline_T4_buildAndDispatchToAllocator
006cbfb0	EntryLinkShellBuilder_ctor_setsVftable_allocates0xf8Child
006cc070	SpawnPipeline_FACTORY_dispatchByTypeTag_enqueueToRingBuffer
006cc390	EntryLinkShellBuilder_FACTORY_constructAndEnqueue
006cc5b0	SpawnPipeline_helper_copyPacket120B_setDiscriminator
006cc620	SpawnPipeline_dispatcher_check2711tag_routeToFactory
006cc720	LinkShellEntry_batchLoop_countAt_packet_0x200_stride_0x40
006cd790	LinkShellEntry_forwarder_single_toFactory
006cd7b0	LinkShellEntry_forwarder_batch_toFactory
006cd8e0	SpawnPipeline_T2_orchestrate_listObject_emits_0x130_pair
006cda80	SpawnPipeline_T1_ringBufferConsumer_castEntryBuilderBase
006cdd20	SpawnPipeline_T0_perTickPump_processQueue
006cdf20	SpawnPipeline_perFrameWrapper_dispatchesT0
006cea20	WorkPath_joinAsString
006ced30	GenericQueue_peekHead_sharedHelper
006dacd0	Lua_listObjectDelete_sends_0x130_variantA
006dae90	Lua_listObjectQueueAdd_sends_0x130_variantA
006db9a0	SpawnPipeline_T3_dispatch2plusN_actorsList
006dbcb0	ActorBase_cpp_wait_thunk
006dc040	WaitForTurningResumeChecker_ctor
006dc0e0	WaitForCharaSchedulerFinishedResumeChecker_ctor
006dc8b0	Debug_executeScriptFromCutSceneTable
006dcc30	global_cpp_defineClass_thunk
006de510	PlayerBase_check_charaWork_state_via_binding_ids
006de650	PlayerBase_executeCommand_thunk_jmp_vtable_0xa8
006de680	PlayerBase_callServerOnCommand_thunk_jmp_vtable_0xb4
006e1700	CharaBase_cpp_waitForTurning_thunk
006e1b90	DesktopWidget_cpp_waitForItemSearchWidget_thunk
006e1c50	DesktopWidget_cpp_waitForCameraTutorial_thunk
006e2130	Lua_send8byteStateAt0x68_via_0x130_variantB
006e2af0	Lua_sendByteUshortAt0x68_via_0x132
006e2fb0	ServerNotify_send_via_0x12d_simple_128Bpayload
006e42e0	Lua_listIndexSend_via_0x130_variantA
006e4b40	CharaBase_cpp_waitForCharaSchedulerFinished_thunk
006e5710	DesktopWidget_cpp_waitForTargetTutorial_thunk
006e5ad0	Lua_sendByteToggle_via_opcode_0x131
006e6360	Lua_sendChallenge_via_opcode_0x134
006e6c20	WorldMaster_cpp_waitForCharaSchedulerTutorialFinished_thunk
006e6d90	Lua_worldMaster__lookAtPlayerTutorial
006e7670	CharaBase_cpp_updateWork_thunk
006e8360	CommandUpdater_dispatchByTargetType
006e85e0	lua_updateWork_impl
006e8890	GroupBase_cpp_updateWork_thunk_customDispatch
006e8b30	MyPlayer_callServerOnCommand_impl_vtable0xb4_send_suspend
006e9520	NpcBase_callServerOnTalk_extractArgs_sendNotify_suspend
006eced0	DesktopWidget_cpp_appendMessagePool_thunk
006f0840	SpreadSheet_cpp_loadKeyTemporarily_thunk
006f6900	Actor_eventHandler_onFinalize
006f6a80	CharaBase_invokeLua_onInit
006f6d60	Actor_invokeLua_onInit
006f6ed0	Actor_invokeLua_onFinalize_v2
006f7000	ItemBase_invokeLua_onInit
006f71a0	ItemBase_invokeLua_onFinalize
006f73b0	Actor_invokeLua_onUpdateWork
006f7cd0	MyPlayer_dispatchCancelJobQuestComplete_3stage
006f7fa0	MyPlayer_invokeLua_onJobQuestCompleteFirst_timeGated
006f80d0	MyPlayer_invokeLua_onJobQuestCompleteSecond_timeGated
006f8200	MyPlayer_onMoveAtSit_eventHandler
006f8350	Player_invokeLua_onGetGoobbue
006f8470	Actor_queryLua_getBattalion
006f8660	Actor_queryLua_isRetainer
006fa840	Actor_dispatchLuaHook_onChangeActorMainStat
006fa980	Actor_dispatchLuaHook_onChangeNetStatSystem
006fae70	CharaBase_invokeLua_onChangeSystemFlag
006faff0	CharaBase_invokeLua_onUpdateDisplayName_idChange
006fb280	CharaBase_invokeLua_onUpdateDisplayName_nameChange
006fb430	CharaBase_invokeLua_onChangeAccessibleInServer
006fb9c0	CutScene_invokeLua_onFinalizeClip
006fbc50	CutScene_method_setActiveAndFinalize
006fbcc0	CutScene_invokeLua_onInitializationClip_PreviewSetupClip
006fbe80	CutScene_invokeLua_onInitializationClip
006fc080	CutScene_invokeLua_onShowUIClip
006fc260	CutScene_invokeLua_onHideUIClip
006fc3a0	CutScene_invokeLua_onShowWidgetClip
006fc4d0	CutScene_invokeLua_onHideWidgetClip
006fc5f0	CutScene_invokeLua_onOpenUIClip
006fe2a0	DesktopWidget_cpp_parseTextCommand_thunk
006fe720	DesktopWidget_queryLua_checkTargetable_globalFn
006fe960	DesktopWidget_invokeLua_onTargetChanged
006febb0	DesktopWidget_invokeLua_onTargetDecided
006fede0	DesktopWidget_invokeLua_onPreWarp
006fef10	DesktopWidget_invokeLua_onPostWarp
006ff040	DesktopWidget_invokeLua_onCreatedWidgetInWidgetContainer
006ff1a0	global_canCreateActorByName_thunk_creatabilityCheck
006ff210	global_isInstanceOf_thunk_dualDispatch_7rtti_plus_luaChain
00700760	Group_invokeLua_onUpdateMemberInformation
007008b0	Group_invokeLua_onUpdateMember_idAndBool
00700a10	Group_invokeLua_onUpdateMember_refAndBool
00700b70	Group_invokeLua_onUpdateMember_nullAndBool
00700cc0	Actor_invokeLua_onUpdateWork_withWorkRecord
00700e70	Group_invokeLua_onUpdateGroupCurrent
00700ff0	Group_invokeLua_onUpdateGroupCurrent_simple
00702e30	Trade_invokeLua_onUpdateItemPackage
007030d0	Trade_invokeLua_onUpdateTradingItem
00703280	Trade_invokeLua_onUpdateTradingItem_withResolve
007037e0	MyPlayer_invokeLua_onJobQuestCompleteThird_timeGated
00703970	Achievement_invokeLua_onReceiveAchievementId_loop
00703f60	MyPlayer_invokeLua_onChocoboRideEvents
00704230	Player_handleLimitAddictedNotice
00704430	Achievement_invokeLua_onReceiveAchievementId_single
00704690	Achievement_invokeLua_onReceiveAchievementRate
00704820	Actor_handleActorMainStatChange
00705eb0	Lua_queryBinding_dispatchType_sends_0x135
00706dc0	MyPlayer_invokeLua_onChangeJob
00706f60	Actor_invokeLua_onReaction
00707300	invokeLua_onLoadKeyAsync
00707610	invokeLua_onHoverHelp
00707d60	MyPlayer_invokeLua_onChangeSubStatStatus
007084e0	MyPlayer_invokeLua_onChangeSubStatMode
00708fc0	Command_invokeLua_onCommand_5strDispatch
00709640	global_cpp_createActor_thunk
00709ca0	Group_invokeLua_onUpdateGroupInformation
00709f00	Actor_callLua_executeTalk_directInvoke
0070a010	MyPlayer_executeCommand_impl_vtable0xa8_validateTargets
0070a350	MyPlayer_invokeLua_onLoginEvent_timeGated
0070a580	invokeLua_onLoadMultiKeyAsync
0070a720	SpreadSheet_cpp_getData_thunk
0070aa10	WorkPath_construct_base
0070aaa0	WorkPath_construct_withFields
007139c0	AppendMessageResumeChecker_ctor
00713a50	TargetTutorialResumeChecker_ctor
00713d50	ItemSearchWidgetResumeChecker_ctor
00713e70	CameraTutorialResumeChecker_ctor
00713f80	ScriptCoroutineKey_construct
00713fe0	OnInitResumeChecker_ctor
007176c0	CharaIterate_ctor
007177b0	WaitForCharaSchedulerTutorialFinishedResumeChecker_ctor
0071d420	WorkPathTree_lowerBound
0071db70	SpreadSheet_LoadDataFunctionEndCallback_ctor
0071e760	Functor_MemberFunctionHolder_ctor
007238b0	ringBuffer_enqueue_4bytes
00724800	Functor_entry_ctor
00725a50	SpreadSheet_LoadDataResumeChecker_ctor
00726720	Functor_pool_alloc
007290e0	PlayerBase_registerLua_isTouching
00729230	PlayerBase_registerLua_isAchievedTrophy
00729380	PlayerBase_registerLua_getOccupancyContentsTime
007294d0	PlayerBase_registerLua_getAchievementCategoryId
00729620	PlayerBase_registerLua_countAchievementItem
00729770	PlayerBase_registerLua_getAchievementItemId
007298c0	PlayerBase_registerLua_isDoneAchievement
00729a10	PlayerBase_registerLua_getAchievementPoint
00729b60	PlayerBase_registerLua_getEnableAchievementTitle
00729cb0	PlayerBase_registerLua_hasAchievementTitle
00729e00	PlayerBase_registerLua_hasAchievementItem
00729f50	PlayerBase_registerLua_getAchievementSheetDataPoint
0072a0a0	PlayerBase_registerLua_getAchievementSheetDataIcon
0072a1f0	PlayerBase_registerLua_getAchievementSheetDataTitle
0072a340	PlayerBase_registerLua_getAchievementSheetDataItem
0072a490	PlayerBase_registerLua_getAchievementRate
0072a5e0	PlayerBase_registerLua_countAchievementRateList
0072a730	PlayerBase_registerLua_isDoneAchievementRateList
0072a880	PlayerBase_registerLua_isCompletedCutSceneReplayQuest
0072a9d0	PlayerBase_registerLua_canStoreItem
0072ab20	PlayerBase_registerLua_countStoredItem
0072ac70	PlayerBase_registerLua_getStoredItem
0072adc0	PlayerBase_registerLua_getEnableEntrustItem
0072af10	PlayerBase_registerLua_getEntrustItem
0072b0c0	Math_registerLua_randomInteger
0072b440	Functor_NpcBaseClass_buildOutputStackOperatorVector
0072c7e0	Functor_NpcBaseClass_buildInputStackOperatorVector
0072df60	ActorBaseClass_registerLua_callSuperClassFunction
0072e0b0	ActorBaseClass_registerLua_wait
0072e200	ActorBaseClass_registerLua_restrictYieldFunction_internal
0072e350	ActorBaseClass_registerLua_loadTextDataPermanently
0072e4a0	ActorBaseClass_registerLua_delete
0072e5f0	AreaMaster_registerLua_setInstanceRaid
0072e740	CharaBaseClass_registerLua_setDirection
0072e890	CharaBaseClass_registerLua_setNameplateIcon
0072e9e0	CharaBaseClass_registerLua_setNameplateGauge
0072eb30	CharaBaseClass_registerLua_setNameplateVisible
0072ec80	CharaBaseClass_registerLua_setFloatingOffset
0072edd0	CharaBaseClass_registerLua_setVisible
0072ef20	CharaBaseClass_registerLua_setGroundOn
0072f070	CharaBaseClass_registerLua_setMapMarker
0072f1c0	CharaBaseClass_registerLua_updateGroup
0072f310	CharaBaseClass_registerLua_getGroupCurrent
0072f460	CharaBaseClass_registerLua_getExtendedTemporaryGroupCurrent
0072f5b0	CharaBaseClass_registerLua_lookAtCharacter
0072f700	CharaBaseClass_registerLua_cancelLookAt
0072f850	CharaBaseClass_registerLua_runCharaScheduler
0072f9a0	CharaBaseClass_registerLua_runCharaSchedulerFromMidstream_internal
0072faf0	CharaBaseClass_registerLua_runCharaSchedulerAgainstTarget
0072fc40	CharaBaseClass_registerLua_waitForCharaSchedulerFinished
0072fd90	CharaBaseClass_registerLua_turnDir_internal
0072fee0	CharaBaseClass_registerLua_turnClientDir
00730030	CharaBaseClass_registerLua_turnBack
00730180	CharaBaseClass_registerLua_waitForTurning
007302d0	CharaBaseClass_registerLua_updateItemPackage
00730420	CharaBaseClass_registerLua_transformIntoChocobo_internal
00730570	CharaBaseClass_registerLua_getJob
007306c0	GroupBaseClass_registerLua_updateMemberAndInformation
00730810	ItemBaseClass_registerLua_updateWork
00730960	PlayerBase_registerLua_executeTalk
00730ab0	PlayerBase_registerLua_executeEmote
00730c00	PlayerBase_registerLua_canExecuteCommand
00730d50	PlayerBase_registerLua_canExecuteTalk
00730ea0	PlayerBase_registerLua_canExecuteEmote
00730ff0	PlayerBase_registerLua_cancelCommand
00731140	PlayerBase_registerLua_cancelTalk
00731290	PlayerBase_registerLua_cancelNotice
007313e0	PlayerBase_registerLua_cancelEmote
00731530	PlayerBase_registerLua_cancelPush
00731680	PlayerBase_registerLua_breakCommand
007317d0	PlayerBase_registerLua_isEventPlaying
00731920	PlayerBase_registerLua_isCommandPlaying
00731a70	PlayerBase_registerLua_countCommandPlaying
00731bc0	PlayerBase_registerLua_fadeIn
00731d10	PlayerBase_registerLua_fadeOut
00731e60	PlayerBase_registerLua_waitForFading
00731fb0	PlayerBase_registerLua_isFading
00732100	PlayerBase_registerLua_cancelFading
00732250	PlayerBase_registerLua_fadeInAfterWarp
007323a0	PlayerBase_registerLua_resetFade
007324f0	PlayerBase_registerLua_fadeInNowLoadingForNoticeEventJustInArea
00732640	PlayerBase_registerLua_lockPlayerControl
00732790	PlayerBase_registerLua_unlockPlayerControl
007328e0	PlayerBase_registerLua_isPlayerControlEnabled
00732a30	PlayerBase_registerLua_lockLockonControl
00732b80	PlayerBase_registerLua_unlockLockonControl
00732cd0	PlayerBase_registerLua_isLockonControlEnabled
00732e20	PlayerBase_registerLua_lockCameraControl
00732f70	PlayerBase_registerLua_unlockCameraControl
007330c0	PlayerBase_registerLua_isCameraControlEnabled
00733210	PlayerBase_registerLua_setLockonTarget
00733360	PlayerBase_registerLua_getLockonTarget
007334b0	PlayerBase_registerLua_waitForMapLoaded
00733600	PlayerBase_registerLua_setMusic
00733750	PlayerBase_registerLua_setWeather
007338a0	PlayerBase_registerLua_setTouchAttribute
007339f0	PlayerBase_registerLua_canGetTrophy
00733b40	PlayerBase_registerLua_achieveTrophy
00733c90	PlayerBase_registerLua_turn
00733de0	PlayerBase_registerLua_getNormalBehestTime
00733f30	PlayerBase_registerLua_getCompanyBehestTime
00734080	PlayerBase_registerLua_getWarpRecastTime
007341d0	PlayerBase_registerLua_getChocoboGrade
00734320	PlayerBase_registerLua_getChocoboRidingGrade
00734470	PlayerBase_registerLua_isEnabledGoobbue
007345c0	PlayerBase_registerLua_isPushingOut
00734710	PlayerBase_registerLua_haveEnmityCharacters
00734860	PlayerBase_registerLua_countAchievementCategory
007349b0	PlayerBase_registerLua_setAchievementTitle
00734b00	PlayerBase_registerLua_countEnableAchievementTitle
00734c50	PlayerBase_registerLua_clearAchievementRateCache
00734da0	PlayerBase_registerLua_getAchievementRateList
00734ef0	PlayerBase_registerLua_getCutSceneReplaySnpcNickname
00735040	PlayerBase_registerLua_getCutSceneReplaySnpcCoordinate
00735190	PlayerBase_registerLua_getCutSceneReplaySnpcSkin
007352e0	PlayerBase_registerLua_getCutSceneReplaySnpcPersonality
00735430	PlayerBase_registerLua_cancelJobQuestCompleteTriple
00735580	PlayerBase_registerLua_countEnableEntrustItem
007356d0	PlayerBase_registerLua_countEntrustItem
00735820	PlayerBase_registerLua_readyInnBed
00735970	PlayerBase_registerLua_forceCameraTPSMode
00735ac0	PlayerBase_registerLua_countHamletDefenseScore
00735c10	PlayerBase_registerLua_getHamletDefenseScore
00735d60	PlayerBase_registerLua_getNMRushUpdateTime
00735eb0	Sequence_registerLua_setFilename
00736000	Sequence_registerLua_loadCutScene_internal
00736150	Sequence_registerLua_replay
007362a0	Sequence_registerLua_skip
007363f0	Debug_registerLua_printLog_internal
00736540	Debug_registerLua_printWarning_internal
00736690	Debug_registerLua_getClassName
007367e0	Debug_registerLua_getInstanceName_internal
00736930	Debug_registerLua_getAllCharacter
00736a80	Debug_registerLua_getLowResolutionTime_internal
00736bd0	Debug_registerLua_getTimeCost_internal
00736d20	Debug_registerLua_deleteQuestActorForPreview_internal
00736e70	Debug_registerLua_copyClipboard_internal
00736fc0	NpcBaseClass_registerLua_callServerOnTalk
00737110	NpcBaseClass_registerLua_callServerOnEmote
00737260	NpcBaseClass_registerLua_callServerOnPush
007373b0	NpcBaseClass_registerLua_doServerOnTalk
00737500	NpcBaseClass_registerLua_doServerOnEmote
00737650	NpcBaseClass_registerLua_doServerOnPush
007377a0	NpcBaseClass_registerLua_breakTalk
007378f0	NpcBaseClass_registerLua_breakEmote
00737a40	NpcBaseClass_registerLua_breakPush
00737b90	NpcBaseClass_registerLua_breakNotice
00737ce0	NpcBaseClass_registerLua_initAsMapObj
00737e30	NpcBaseClass_registerLua_runBgScheduler
00737f80	NpcBaseClass_registerLua_runBgSchedulerFromMidstream
007380d0	NpcBaseClass_registerLua_waitForBgSchedulerFinished
00738220	WidgetBaseClass_registerLua_setFilename
00738370	WidgetBaseClass_registerLua_loadForm
007384c0	WidgetBaseClass_registerLua_removeItem
00738610	WidgetBaseClass_registerLua_isKeyboardFocused
00738760	WidgetBaseClass_registerLua_getKeyboardFocusedControl
007388b0	WidgetBaseClass_registerLua_setKeyboardFocusedControl
00738a00	WidgetBaseClass_registerLua_setParentWidget
00738b50	WidgetBaseClass_registerLua_addList
00738ca0	WidgetBaseClass_registerLua_removeList
00738df0	WidgetBaseClass_registerLua_clearAllList
00738f40	WidgetBaseClass_registerLua_updateList
00739090	DesktopWidget_registerLua_clearLogPool
007391e0	DesktopWidget_registerLua_initTargetCursors
00739330	DesktopWidget_registerLua_setTargetCursorImage
00739480	DesktopWidget_registerLua_setTargetableDistance
007395d0	DesktopWidget_registerLua_setCurrentTargetCursor
00739720	DesktopWidget_registerLua_setAllTargetCursorMask
00739870	DesktopWidget_registerLua_setTargetCharacter
007399c0	DesktopWidget_registerLua_setTargetCharacterByDisplayName
00739b10	DesktopWidget_registerLua_setTargetNearestCharacter
00739c60	DesktopWidget_registerLua_lockTargetCursorControl
00739db0	DesktopWidget_registerLua_unlockTargetCursorControl
00739f00	DesktopWidget_registerLua_setLockonCursorImage
0073a050	DesktopWidget_registerLua_resetUserConfig
0073a1a0	DesktopWidget_registerLua_saveUserConfig
0073a2f0	DesktopWidget_registerLua_setUserMacroIcon
0073a440	DesktopWidget_registerLua_saveUserMacro
0073a590	DesktopWidget_registerLua_waitForItemSearchWidget
0073a6e0	DesktopWidget_registerLua_waitForTargetTutorial
0073a830	DesktopWidget_registerLua_waitForCameraTutorial
0073a980	DesktopWidget_registerLua_reserveWidgetContainer
0073aad0	DesktopWidget_registerLua_deleteCreatingWidgetInWidgetContainer
0073ac20	DesktopWidget_registerLua_sendCountDown
0073ad70	WorldMaster_registerLua_printLog
0073aec0	WorldMaster_registerLua_printDebugLog
0073b010	WorldMaster_registerLua_loadWord
0073b160	WorldMaster_registerLua_unloadWord
0073b2b0	WorldMaster_registerLua_runCharaSchedulerTutorial
0073b400	WorldMaster_registerLua_waitForCharaSchedulerTutorialFinished
0073b550	Register_lookAtPlayerTutorial_LuaBinding
0073b6a0	WorldMaster_registerLua_cancelLookAtPlayerTutorial
0073b7f0	WorldMaster_registerLua_aimCameraTutorial
0073b940	WorldMaster_registerLua_cancelAimCameraTutorial
0073ba90	WorldMaster_registerLua_transformIntoChocobo
0073bbe0	WorldMaster_registerLua_cancelTransformIntoChocobo
0073bd30	WorldMaster_registerLua_aimCameraChocobo
0073be80	WorldMaster_registerLua_cancelAimCameraChocobo
0073bfd0	DirectorBaseClass_registerLua_breakNotice
0073c120	DirectorBaseClass_registerLua_waitForHamletDefenseScore
0073c270	global_registerLua_defineClass
0073c3c0	global_registerLua_defineBaseClass
0073c510	global_registerLua_getActorByName
0073c660	global_registerLua_isExistActor
0073c7b0	global_registerLua_prepareAllCommandStaticActor
0073c900	global_registerLua_getUTF8StringLength
0073ca50	global_registerLua_getUTF8StringByteLength
0073cba0	Math_registerLua_randomFloat
0073ccf0	Math_registerLua_randomIntegerWithSeed
0073e9f0	CharaBaseClass_registerLua_setPosition
0073eb40	CharaBaseClass_registerLua_updateWork
0073ec90	CharaBaseClass_registerLua_lookAtCharacterEid
0073ede0	CharaBaseClass_registerLua_lookAtDirection
0073ef30	GroupBaseClass_registerLua_updateWork
0073f080	PlayerBase_registerLua_executeCommand
0073f1d0	PlayerBase_registerLua_callServerOnCommand
0073f320	PlayerBase_registerLua_doServerOnCommand
0073f470	Debug_registerLua_getText_internal
0073f5c0	Debug_registerLua_printText_internal
0073f710	NpcBaseClass_registerLua_setMapObjScale
0073f860	NpcBaseClass_registerLua_preloadItemSpreadSheetContainer
0073f9b0	WidgetBaseClass_registerLua_setUICommandCondition
0073fb00	DesktopWidget_registerLua_setUserMacroTitle
0073fc50	DirectorBaseClass_registerLua_updateWork
0073fda0	Math_registerLua_randomFloatWithSeed
00740ec0	Math_registerAllLuaBindings
00740fb0	CharaBaseClass_registerLua_setNameplateColor
00741100	CharaBaseClass_registerLua_lookAtPosition
00741250	PlayerBase_registerLua_setPositionDirectionInn
007413a0	PlayerBase_registerLua_getHamletDefenseScoreAll
